id,compartment,metabolite_dcid,metabolic_compartment_dcid
m02658m,dcs:CellularCompartmentMitochondria,bio/CHEMBL446143,bio/m02658m
m02658s,dcs:CellularCompartmentExtracellular,bio/CHEMBL446143,bio/m02658s
m02659c,dcs:CellularCompartmentCytosol,bio/CHEMBL1235017,bio/m02659c
m02659s,dcs:CellularCompartmentExtracellular,bio/CHEMBL1235017,bio/m02659s
m02660c,dcs:CellularCompartmentCytosol,bio/CHEMBL1207358,bio/m02660c
m02661c,dcs:CellularCompartmentCytosol,bio/CHEMBL146755,bio/m02661c
m02661m,dcs:CellularCompartmentMitochondria,bio/CHEMBL146755,bio/m02661m
m02661p,dcs:CellularCompartmentPeroxisome,bio/CHEMBL146755,bio/m02661p
m02661s,dcs:CellularCompartmentExtracellular,bio/CHEMBL146755,bio/m02661s
m02662c,dcs:CellularCompartmentCytosol,bio/HMDB0003974,bio/m02662c
m02662m,dcs:CellularCompartmentMitochondria,bio/HMDB0003974,bio/m02662m
m02662p,dcs:CellularCompartmentPeroxisome,bio/HMDB0003974,bio/m02662p
m02663c,dcs:CellularCompartmentCytosol,bio/HMDB0062515,bio/m02663c
m02664c,dcs:CellularCompartmentCytosol,bio/HMDB0059664,bio/m02664c
m02665c,dcs:CellularCompartmentCytosol,bio/MNXM178,bio/m02665c
m02665m,dcs:CellularCompartmentMitochondria,bio/MNXM178,bio/m02665m
m02666c,dcs:CellularCompartmentCytosol,bio/MNXM148,bio/m02666c
m02666m,dcs:CellularCompartmentMitochondria,bio/MNXM148,bio/m02666m
m02666n,dcs:CellularCompartmentNucleus,bio/MNXM148,bio/m02666n
m02667c,dcs:CellularCompartmentCytosol,bio/HMDB0000881,bio/m02667c
m02668c,dcs:CellularCompartmentCytosol,bio/HMDB0013033,bio/m02668c
m02669c,dcs:CellularCompartmentCytosol,bio/CHEMBL395429,bio/m02669c
m02670c,dcs:CellularCompartmentCytosol,bio/CHEMBL339385,bio/m02670c
m02671c,dcs:CellularCompartmentCytosol,bio/CHEMBL448348,bio/m02671c
m02672g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM6369,bio/m02672g
m02672l,dcs:CellularCompartmentLysosome,bio/MNXM6369,bio/m02672l
m02672s,dcs:CellularCompartmentExtracellular,bio/MNXM6369,bio/m02672s
m02673c,dcs:CellularCompartmentCytosol,bio/CHEMBL428647,bio/m02673c
m02673s,dcs:CellularCompartmentExtracellular,bio/CHEMBL428647,bio/m02673s
m02674c,dcs:CellularCompartmentCytosol,bio/CHEMBL82293,bio/m02674c
m02674l,dcs:CellularCompartmentLysosome,bio/CHEMBL82293,bio/m02674l
m02674p,dcs:CellularCompartmentPeroxisome,bio/CHEMBL82293,bio/m02674p
m02674r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL82293,bio/m02674r
m02674s,dcs:CellularCompartmentExtracellular,bio/CHEMBL82293,bio/m02674s
m02675c,dcs:CellularCompartmentCytosol,bio/CHEMBL453509,bio/m02675c
m02675l,dcs:CellularCompartmentLysosome,bio/CHEMBL453509,bio/m02675l
m02675r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL453509,bio/m02675r
m02675s,dcs:CellularCompartmentExtracellular,bio/CHEMBL453509,bio/m02675s
m02676c,dcs:CellularCompartmentCytosol,bio/HMDB0000222,bio/m02676c
m02676m,dcs:CellularCompartmentMitochondria,bio/HMDB0000222,bio/m02676m
m02676r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0000222,bio/m02676r
m02677c,dcs:CellularCompartmentCytosol,bio/HMDB0006532,bio/m02677c
m02677m,dcs:CellularCompartmentMitochondria,bio/HMDB0006532,bio/m02677m
m02677p,dcs:CellularCompartmentPeroxisome,bio/HMDB0006532,bio/m02677p
m02677r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0006532,bio/m02677r
m02678c,dcs:CellularCompartmentCytosol,bio/CHEMBL3904487,bio/m02678c
m02678m,dcs:CellularCompartmentMitochondria,bio/CHEMBL3904487,bio/m02678m
m02678p,dcs:CellularCompartmentPeroxisome,bio/CHEMBL3904487,bio/m02678p
m02678r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL3904487,bio/m02678r
