reactionID,hm_38_gene,hm_19_gene
bio/ATPasel,bio/hg38_ATP6V1A,bio/hg19_ATP6V1A
bio/ATPasel,bio/hg38_ATP6V1A,bio/hg19_ATP6V1A
bio/ATPasel,bio/hg38_ATP6V1A,bio/hg19_ATP6V1A
bio/ATPasel,bio/hg38_ATP6V1F,bio/hg19_ATP6V1F
bio/ATPasel,bio/hg38_ATP6V1F,bio/hg19_ATP6V1F
bio/ATPasel,bio/hg38_ATP6V1F,bio/hg19_ATP6V1F
bio/ATPasel,bio/hg38_ATP6V1F,bio/hg19_ATP6V1F
bio/ATPasel,bio/hg38_ATP6V1F,bio/hg19_ATP6V1F
bio/ATPasel,bio/hg38_ATP6V1F,bio/hg19_ATP6V1F
bio/ATPasel,bio/hg38_ATP6V1F,bio/hg19_ATP6V1F
bio/ATPasel,bio/hg38_ATP6V1F,bio/hg19_ATP6V1F
bio/ATPasel,bio/hg38_ATP6V1F,bio/hg19_ATP6V1F
bio/ATPasel,bio/hg38_ATP6V1F,bio/hg19_ATP6V1F
bio/ATPasel,bio/hg38_ATP6V1F,bio/hg19_ATP6V1F
bio/ATPasel,bio/hg38_ATP6V1F,bio/hg19_ATP6V1F
bio/ATPasel,bio/hg38_ATP6V1F,bio/hg19_ATP6V1F
bio/ATPasel,bio/hg38_ATP6V1F,bio/hg19_ATP6V1F
bio/ATPasel,bio/hg38_ATP6V1F,bio/hg19_ATP6V1F
bio/ATPasel,bio/hg38_ATP6V1F,bio/hg19_ATP6V1F
bio/ATPasel,bio/hg38_ATP6V1F,bio/hg19_ATP6V1F
bio/ATPasel,bio/hg38_ATP6V1F,bio/hg19_ATP6V1F
bio/ATPasel,bio/hg38_ATP6V1F,bio/hg19_ATP6V1F
bio/ATPasel,bio/hg38_ATP6V1F,bio/hg19_ATP6V1F
bio/ATPasel,bio/hg38_ATP6V1F,bio/hg19_ATP6V1F
bio/ATPasel,bio/hg38_ATP6V1F,bio/hg19_ATP6V1F
bio/ATPasel,bio/hg38_ATP6V1F,bio/hg19_ATP6V1F
bio/ATPasel,bio/hg38_ATP6V1F,bio/hg19_ATP6V1F
bio/ATPasel,bio/hg38_ATP6V1G1,bio/hg19_ATP6V1G1
bio/ATPasel,bio/hg38_ATP6V1G1,bio/hg19_ATP6V1G1
bio/ATPasel,bio/hg38_ATP6V1G1,bio/hg19_ATP6V1G1
bio/ATPasel,bio/hg38_ATP6V1G1,bio/hg19_ATP6V1G1
bio/ATPasel,bio/hg38_ATP6V1G1,bio/hg19_ATP6V1G1
bio/ATPasel,bio/hg38_ATP6V1G1,bio/hg19_ATP6V1G1
bio/ATPasel,bio/hg38_ATP6V1G1,bio/hg19_ATP6V1G1
bio/ATPasel,bio/hg38_ATP6V1G1,bio/hg19_ATP6V1G1
bio/ATPasel,bio/hg38_ATP6V1B2,bio/hg19_ATP6V1B2
bio/ATPasel,bio/hg38_ATP6V1B2,bio/hg19_ATP6V1B2
bio/ATPasel,bio/hg38_ATP6V1B2,bio/hg19_ATP6V1B2
bio/ATPasel,bio/hg38_ATP6V1B2,bio/hg19_ATP6V1B2
bio/ATPasel,bio/hg38_ATP6V1B2,bio/hg19_ATP6V1B2
bio/ATPasel,bio/hg38_ATP6V1B2,bio/hg19_ATP6V1B2
bio/ATPasel,bio/hg38_ATP6V1B2,bio/hg19_ATP6V1B2
bio/ATPasel,bio/hg38_ATP6V1B2,bio/hg19_ATP6V1B2
bio/ATPasel,bio/hg38_ATP6V1B2,bio/hg19_ATP6V1B2
bio/ATPasel,bio/hg38_ATP6V1B2,bio/hg19_ATP6V1B2
bio/ATPasel,bio/hg38_ATP6V1B2,bio/hg19_ATP6V1B2
bio/ATPasel,bio/hg38_ATP6V1B2,bio/hg19_ATP6V1B2
bio/ATPasel,bio/hg38_ATP6V1C1,bio/hg19_ATP6V1C1
