ensemblID,systemsBiologyOntologyTerm,hm_38_gene,hm_19_gene
ENSG00000159495,"""SBO:0000243""",bio/hg38_TGM7,bio/hg19_TGM7
ENSG00000159527,"""SBO:0000243""",bio/hg38_PGLYRP3,bio/hg19_PGLYRP3
ENSG00000159593,"""SBO:0000243""",bio/hg38_NAE1,bio/hg19_NAE1
ENSG00000159640,"""SBO:0000243""",bio/hg38_ACE,bio/hg19_ACE
ENSG00000159650,"""SBO:0000243""",bio/hg38_UROC1,bio/hg19_UROC1
ENSG00000159692,"""SBO:0000243""",bio/hg38_CTBP1,bio/hg19_CTBP1
ENSG00000159714,"""SBO:0000243""",bio/hg38_ZDHHC1,bio/hg19_ZDHHC1
ENSG00000159720,"""SBO:0000243""",bio/hg38_ATP6V0D1,bio/hg19_ATP6V0D1
ENSG00000159792,"""SBO:0000243""",bio/hg38_PSKH1,bio/hg19_PSKH1
ENSG00000159899,"""SBO:0000243""",bio/hg38_NPR2,bio/hg19_NPR2
ENSG00000159921,"""SBO:0000243""",bio/hg38_GNE,bio/hg19_GNE
ENSG00000160014,"""SBO:0000243""",bio/hg38_CALM3,bio/hg19_CALM3
ENSG00000160075,"""SBO:0000243""",bio/hg38_SSU72,bio/hg19_SSU72
ENSG00000160087,"""SBO:0000243""",bio/hg38_UBE2J2,bio/hg19_UBE2J2
ENSG00000160145,"""SBO:0000243""",bio/hg38_KALRN,bio/hg19_KALRN
ENSG00000160179,"""SBO:0000243""",bio/hg38_ABCG1,bio/hg19_ABCG1
ENSG00000160190,"""SBO:0000243""",bio/hg38_SLC37A1,bio/hg19_SLC37A1
ENSG00000160191,"""SBO:0000243""",bio/hg38_PDE9A,bio/hg19_PDE9A
ENSG00000160194,"""SBO:0000243""",bio/hg38_NDUFV3,bio/hg19_NDUFV3
ENSG00000160200,"""SBO:0000243""",bio/hg38_CBS,bio/hg19_CBS
ENSG00000160209,"""SBO:0000243""",bio/hg38_PDXK,bio/hg19_PDXK
ENSG00000160211,"""SBO:0000243""",bio/hg38_G6PD,bio/hg19_G6PD
ENSG00000160216,"""SBO:0000243""",bio/hg38_AGPAT3,bio/hg19_AGPAT3
ENSG00000160226,"""SBO:0000243""",bio/hg38_CFAP410,bio/hg19_CFAP410
ENSG00000160282,"""SBO:0000243""",bio/hg38_FTCD,bio/hg19_FTCD
ENSG00000160285,"""SBO:0000243""",bio/hg38_LSS,bio/hg19_LSS
ENSG00000160310,"""SBO:0000243""",bio/hg38_PRMT2,bio/hg19_PRMT2
ENSG00000160326,"""SBO:0000243""",bio/hg38_SLC2A6,bio/hg19_SLC2A6
ENSG00000160408,"""SBO:0000243""",bio/hg38_ST6GALNAC6,bio/hg19_ST6GALNAC6
ENSG00000160439,"""SBO:0000243""",bio/hg38_RDH13,bio/hg19_RDH13
ENSG00000160446,"""SBO:0000243""",bio/hg38_ZDHHC12,bio/hg19_ZDHHC12
ENSG00000160447,"""SBO:0000243""",bio/hg38_PKN3,bio/hg19_PKN3
ENSG00000160469,"""SBO:0000243""",bio/hg38_BRSK1,bio/hg19_BRSK1
ENSG00000160471,"""SBO:0000243""",bio/hg38_COX6B2,bio/hg19_COX6B2
ENSG00000160539,"""SBO:0000243""",bio/hg38_PLPP7,bio/hg19_PLPP7
ENSG00000160551,"""SBO:0000243""",bio/hg38_TAOK1,bio/hg19_TAOK1
ENSG00000160584,"""SBO:0000243""",bio/hg38_SIK3,bio/hg19_SIK3
ENSG00000160602,"""SBO:0000243""",bio/hg38_NEK8,bio/hg19_NEK8
ENSG00000160688,"""SBO:0000243""",bio/hg38_FLAD1,bio/hg19_FLAD1
