id,name,compartment,chemicalFormula,bigg.metabolite,chebi,chembl,kegg.compound,metanetx.chemical,hmdb,pubchem.compound,lipidmaps,metabolite_dcid
m01584l,"""cis-gondoic acid""",dcs:CellularCompartmentLysosome,C20H37O2,,"""CHEBI:32425""",,C16526,MNXM165514,HMDB0033022,5282768,LMFA01030085,bio/HMDB0033022
m01584r,"""cis-gondoic acid""",dcs:CellularCompartmentEndoplasmicReticulum,C20H37O2,,"""CHEBI:32425""",,C16526,MNXM165514,HMDB0033022,5282768,LMFA01030085,bio/HMDB0033022
m01584s,"""cis-gondoic acid""",dcs:CellularCompartmentExtracellular,C20H37O2,,"""CHEBI:32425""",,C16526,MNXM165514,HMDB0033022,5282768,LMFA01030085,bio/HMDB0033022
m01585c,"""cis-vaccenic acid""",dcs:CellularCompartmentCytosol,C18H33O2,vacc,"""CHEBI:50464""",CHEMBL1236642,C08367,MNXM92713,HMDB0240219,5282761,LMFA01030076,bio/CHEMBL1236642
m01585l,"""cis-vaccenic acid""",dcs:CellularCompartmentLysosome,C18H33O2,vacc,"""CHEBI:50464""",CHEMBL1236642,C08367,MNXM92713,HMDB0240219,5282761,LMFA01030076,bio/CHEMBL1236642
m01585r,"""cis-vaccenic acid""",dcs:CellularCompartmentEndoplasmicReticulum,C18H33O2,vacc,"""CHEBI:50464""",CHEMBL1236642,C08367,MNXM92713,HMDB0240219,5282761,LMFA01030076,bio/CHEMBL1236642
m01585s,"""cis-vaccenic acid""",dcs:CellularCompartmentExtracellular,C18H33O2,vacc,"""CHEBI:50464""",CHEMBL1236642,C08367,MNXM92713,HMDB0240219,5282761,LMFA01030076,bio/CHEMBL1236642
m01586c,"""cis-vaccenoyl-CoA""",dcs:CellularCompartmentCytosol,C39H64N7O17P3S,vacccoa,,,,MNXM4868,HMDB0006521,53477847,,bio/HMDB0006521
m01586m,"""cis-vaccenoyl-CoA""",dcs:CellularCompartmentMitochondria,C39H64N7O17P3S,vacccoa,,,,MNXM4868,HMDB0006521,53477847,,bio/HMDB0006521
m01586p,"""cis-vaccenoyl-CoA""",dcs:CellularCompartmentPeroxisome,C39H64N7O17P3S,vacccoa,,,,MNXM4868,HMDB0006521,53477847,,bio/HMDB0006521
m01586r,"""cis-vaccenoyl-CoA""",dcs:CellularCompartmentEndoplasmicReticulum,C39H64N7O17P3S,vacccoa,,,,MNXM4868,HMDB0006521,53477847,,bio/HMDB0006521
m01587c,"""citrate""",dcs:CellularCompartmentCytosol,C6H5O7,cit,"""CHEBI:30769""",CHEMBL1261,C00158,MNXM131,HMDB0000094,311,,bio/CHEMBL1261
m01587m,"""citrate""",dcs:CellularCompartmentMitochondria,C6H5O7,cit,"""CHEBI:30769""",CHEMBL1261,C00158,MNXM131,HMDB0000094,311,,bio/CHEMBL1261
m01587s,"""citrate""",dcs:CellularCompartmentExtracellular,C6H5O7,cit,"""CHEBI:30769""",CHEMBL1261,C00158,MNXM131,HMDB0000094,311,,bio/CHEMBL1261
m01588c,"""citrulline""",dcs:CellularCompartmentCytosol,C6H13N3O3,citr__L,"""CHEBI:16349""",CHEMBL444814,C00327,MNXM211,HMDB0000904,9750,,bio/CHEMBL444814
m01588g,"""citrulline""",dcs:CellularCompartmentGolgiApparatus,C6H13N3O3,citr__L,"""CHEBI:16349""",CHEMBL444814,C00327,MNXM211,HMDB0000904,9750,,bio/CHEMBL444814
m01588m,"""citrulline""",dcs:CellularCompartmentMitochondria,C6H13N3O3,citr__L,"""CHEBI:16349""",CHEMBL444814,C00327,MNXM211,HMDB0000904,9750,,bio/CHEMBL444814
m01588s,"""citrulline""",dcs:CellularCompartmentExtracellular,C6H13N3O3,citr__L,"""CHEBI:16349""",CHEMBL444814,C00327,MNXM211,HMDB0000904,9750,,bio/CHEMBL444814
m01589c,"""CL pool""",dcs:CellularCompartmentCytosol,C13H16O17P2R4,clpn_hs,"""CHEBI:28494""",,,MNXM16535,,,LMGP12010000,bio/MNXM16535
